=== Лог изменений характеристик ===2024-02-16 00:00:00 | Физические | Сила | Изменение: +1 | Текущее: 1/5 | Уровень: 0
2024-02-16 00:00:00 | Физические | Речь | Изменение: +1 | Текущее: 1/5 | Уровень: 0
2024-02-16 00:00:00 | Физические | Ловкость | Изменение: +1 | Текущее: 1/5 | Уровень: 0
2024-02-16 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 1/5 | Уровень: 0
2024-02-16 00:00:00 | Социальные | Внешность | Изменение: +1 | Текущее: 1/5 | Уровень: 0
2024-02-16 00:00:00 | Социальные | Внешность | Изменение: +1 | Текущее: 2/5 | Уровень: 0
2024-02-16 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 1/5 | Уровень: 0
2024-02-16 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 1/5 | Уровень: 0
2024-02-23 00:00:00 | Физические | Сила | Изменение: +1 | Текущее: 2/5 | Уровень: 0
2024-02-23 00:00:00 | Физические | Речь | Изменение: +1 | Текущее: 2/5 | Уровень: 0
2024-02-23 00:00:00 | Физические | Ловкость | Изменение: +1 | Текущее: 2/5 | Уровень: 0
2024-02-23 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 2/5 | Уровень: 0
2024-02-23 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 1/5 | Уровень: 0
2024-02-23 00:00:00 | Социальные | Внешность | Изменение: +1 | Текущее: 3/5 | Уровень: 0
2024-02-23 00:00:00 | Ментальные | Память | Изменение: +1 | Текущее: 1/5 | Уровень: 0
2024-02-23 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 1/5 | Уровень: 0
2024-02-23 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 2/5 | Уровень: 0
2024-02-23 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 2/5 | Уровень: 0
2024-02-27 00:00:00 | Физические | Сила | Изменение: +1 | Текущее: 3/5 | Уровень: 0
2024-02-27 00:00:00 | Физические | Речь | Изменение: +1 | Текущее: 3/5 | Уровень: 0
2024-02-27 00:00:00 | Физические | Ловкость | Изменение: +1 | Текущее: 3/5 | Уровень: 0
2024-02-27 00:00:00 | Физические | Ловкость | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2024-02-27 00:00:00 | Физические | Ловкость | Изменение: +1 | Текущее: 0/7 | Уровень: 1
2024-02-27 00:00:00 | Физические | Ловкость | Изменение: +1 | Текущее: 1/7 | Уровень: 1
2024-02-27 00:00:00 | Физические | Ловкость | Изменение: +1 | Текущее: 2/7 | Уровень: 1
2024-02-27 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 3/5 | Уровень: 0
2024-02-27 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2024-02-27 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 2/5 | Уровень: 0
2024-02-27 00:00:00 | Социальные | Внешность | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2024-02-27 00:00:00 | Ментальные | Память | Изменение: +1 | Текущее: 2/5 | Уровень: 0
2024-02-27 00:00:00 | Ментальные | Память | Изменение: +1 | Текущее: 3/5 | Уровень: 0
2024-02-27 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 3/5 | Уровень: 0
2024-02-27 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2024-02-27 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 0/7 | Уровень: 1
2024-02-27 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 1/7 | Уровень: 1
2024-02-27 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 2/5 | Уровень: 0
2024-02-27 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 3/5 | Уровень: 0
2024-02-27 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2024-02-27 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 3/5 | Уровень: 0
2024-02-27 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 2/7 | Уровень: 1
2025-06-09 00:00:00 | Физические | Сила | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2025-06-09 00:00:00 | Физические | Речь | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2025-06-09 00:00:00 | Физические | Ловкость | Изменение: +1 | Текущее: 3/7 | Уровень: 1
2025-06-09 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 0/7 | Уровень: 1
2025-06-09 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 3/5 | Уровень: 0
2025-06-09 00:00:00 | Социальные | Внешность | Изменение: +1 | Текущее: 0/7 | Уровень: 1
2025-06-09 00:00:00 | Ментальные | Память | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2025-06-09 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 3/7 | Уровень: 1
2025-06-09 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 0/7 | Уровень: 1
2025-06-09 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 1/7 | Уровень: 1
2025-06-09 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 2/7 | Уровень: 1
2025-06-09 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 3/7 | Уровень: 1
2025-06-10 00:00:00 | Ментальные | Память | Изменение: -1 | Текущее: 3/5 | Уровень: 0
2025-06-10 00:00:00 | Ментальные | Память | Изменение: -1 | Текущее: 2/5 | Уровень: 0
2025-06-10 00:00:00 | Ментальные | Интеллект | Изменение: -1 | Текущее: 2/5 | Уровень: 0
2025-06-10 00:00:00 | Ментальные | Интеллект | Изменение: -1 | Текущее: 1/5 | Уровень: 0
2025-06-10 00:00:00 | Физические | Речь | Изменение: -1 | Текущее: 3/5 | Уровень: 0
2025-06-10 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 1/7 | Уровень: 1
2025-06-10 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 2/7 | Уровень: 1
2025-06-10 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 3/7 | Уровень: 1
2025-06-10 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 4/7 | Уровень: 1
2025-06-10 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 5/7 | Уровень: 1
2025-06-10 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 6/7 | Уровень: 1
2025-06-10 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 0/9 | Уровень: 2
2025-06-11 00:00:00 | Физические | Сила | Изменение: +1 | Текущее: 0/7 | Уровень: 1
2025-06-11 00:00:00 | Физические | Речь | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2025-06-11 00:00:00 | Физические | Ловкость | Изменение: +1 | Текущее: 4/7 | Уровень: 1
2025-06-11 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 1/9 | Уровень: 2
2025-06-11 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2025-06-11 00:00:00 | Социальные | Внешность | Изменение: +1 | Текущее: 1/7 | Уровень: 1
2025-06-11 00:00:00 | Социальные | Внешность | Изменение: +1 | Текущее: 2/7 | Уровень: 1
2025-06-11 00:00:00 | Социальные | Внешность | Изменение: +1 | Текущее: 3/7 | Уровень: 1
2025-06-11 00:00:00 | Социальные | Внешность | Изменение: +1 | Текущее: 4/7 | Уровень: 1
2025-06-11 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 2/5 | Уровень: 0
2025-06-11 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 3/5 | Уровень: 0
2025-06-11 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2025-06-11 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 4/7 | Уровень: 1
2025-06-11 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 5/7 | Уровень: 1
2025-06-11 00:00:00 | Ментальные | Память | Изменение: +1 | Текущее: 3/5 | Уровень: 0
2025-06-11 00:00:00 | Ментальные | Память | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2025-06-11 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 4/7 | Уровень: 1
2025-06-11 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 5/7 | Уровень: 1
2025-06-12 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 2/9 | Уровень: 2
2025-06-14 00:00:00 | Физические | Сила | Изменение: +1 | Текущее: 1/7 | Уровень: 1
2025-06-14 00:00:00 | Физические | Сила | Изменение: +1 | Текущее: 2/7 | Уровень: 1
2025-06-14 00:00:00 | Физические | Сила | Изменение: +1 | Текущее: 3/7 | Уровень: 1
2025-06-14 00:00:00 | Физические | Речь | Изменение: -1 | Текущее: 3/5 | Уровень: 0
2025-06-14 00:00:00 | Физические | Речь | Изменение: -1 | Текущее: 2/5 | Уровень: 0
2025-06-14 00:00:00 | Социальные | Харизма | Изменение: -1 | Текущее: 3/5 | Уровень: 0
2025-06-14 00:00:00 | Социальные | Харизма | Изменение: -1 | Текущее: 2/5 | Уровень: 0
2025-06-14 00:00:00 | Ментальные | Интеллект | Изменение: -1 | Текущее: 3/5 | Уровень: 0
2025-06-14 00:00:00 | Ментальные | Интеллект | Изменение: -1 | Текущее: 2/5 | Уровень: 0
2025-06-14 00:00:00 | Ментальные | Восприятие | Изменение: -1 | Текущее: 4/7 | Уровень: 1
2025-06-14 00:00:00 | Ментальные | Память | Изменение: -1 | Текущее: 3/5 | Уровень: 0
2025-06-14 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 3/5 | Уровень: 0
2025-06-14 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2025-06-14 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 0/7 | Уровень: 1
2025-06-15 00:00:00 | Физические | Сила | Изменение: +1 | Текущее: 4/7 | Уровень: 1
2025-06-15 00:00:00 | Физические | Речь | Изменение: +1 | Текущее: 3/5 | Уровень: 0
2025-06-15 00:00:00 | Физические | Ловкость | Изменение: +1 | Текущее: 5/7 | Уровень: 1
2025-06-15 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 3/9 | Уровень: 2
2025-06-15 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 1/7 | Уровень: 1
2025-06-15 00:00:00 | Социальные | Внешность | Изменение: +1 | Текущее: 5/7 | Уровень: 1
2025-06-15 00:00:00 | Ментальные | Память | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2025-06-15 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 3/5 | Уровень: 0
2025-06-15 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 5/7 | Уровень: 1
2025-06-15 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 6/7 | Уровень: 1
2025-06-16 00:00:00 | Физические | Сила | Изменение: +1 | Текущее: 5/7 | Уровень: 1
2025-06-16 00:00:00 | Физические | Речь | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2025-06-16 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 4/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: -1 | Текущее: 5/7 | Уровень: 1
2025-06-16 00:00:00 | Ментальные | Восприятие | Изменение: -1 | Текущее: 4/7 | Уровень: 1
2025-06-16 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 4/5 | Уровень: 0
2025-06-16 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 2/7 | Уровень: 1
2025-06-16 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 3/7 | Уровень: 1
2025-06-16 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 4/7 | Уровень: 1
2025-06-17 00:00:00 | Физические | Сила | Изменение: +1 | Текущее: 6/7 | Уровень: 1
2025-06-17 00:00:00 | Физические | Сила | Изменение: +1 | Текущее: 0/9 | Уровень: 2
2025-06-17 00:00:00 | Физические | Речь | Изменение: +1 | Текущее: 0/7 | Уровень: 1
2025-06-17 00:00:00 | Физические | Речь | Изменение: +1 | Текущее: 1/7 | Уровень: 1
2025-06-17 00:00:00 | Физические | Ловкость | Изменение: +1 | Текущее: 6/7 | Уровень: 1
2025-06-17 00:00:00 | Физические | Ловкость | Изменение: +1 | Текущее: 0/9 | Уровень: 2
2025-06-17 00:00:00 | Физические | Выносливость | Изменение: +1 | Текущее: 5/9 | Уровень: 2
2025-06-17 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 5/7 | Уровень: 1
2025-06-17 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 6/7 | Уровень: 1
2025-06-17 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 0/9 | Уровень: 2
2025-06-17 00:00:00 | Социальные | Внешность | Изменение: +1 | Текущее: 6/7 | Уровень: 1
2025-06-17 00:00:00 | Социальные | Внешность | Изменение: +1 | Текущее: 0/9 | Уровень: 2
2025-06-17 00:00:00 | Ментальные | Память | Изменение: +1 | Текущее: 0/7 | Уровень: 1
2025-06-17 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 6/7 | Уровень: 1
2025-06-17 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 0/7 | Уровень: 1
2025-06-17 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 5/7 | Уровень: 1
2025-06-17 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 6/7 | Уровень: 1
2025-06-17 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 0/9 | Уровень: 2
2025-06-17 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 0/9 | Уровень: 2
2025-06-17 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 1/9 | Уровень: 2
2025-06-17 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 2/9 | Уровень: 2
2025-06-17 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 1/7 | Уровень: 1
2025-06-17 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 1/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 2/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Память | Изменение: +1 | Текущее: 1/7 | Уровень: 1
2025-06-16 00:00:00 | Ментальные | Память | Изменение: +1 | Текущее: 2/7 | Уровень: 1
2025-06-16 00:00:00 | Ментальные | Память | Изменение: +1 | Текущее: 3/7 | Уровень: 1
2025-06-16 00:00:00 | Ментальные | Память | Изменение: +1 | Текущее: 4/7 | Уровень: 1
2025-06-16 00:00:00 | Ментальные | Память | Изменение: +1 | Текущее: 5/7 | Уровень: 1
2025-06-16 00:00:00 | Ментальные | Память | Изменение: +1 | Текущее: 6/7 | Уровень: 1
2025-06-16 00:00:00 | Ментальные | Память | Изменение: +1 | Текущее: 0/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: -1 | Текущее: 1/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 2/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 3/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 4/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: -1 | Текущее: 3/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: -1 | Текущее: 2/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 3/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 4/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: -1 | Текущее: 3/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: -1 | Текущее: 2/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 3/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 4/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: -1 | Текущее: 3/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: -1 | Текущее: 2/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 3/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 4/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 5/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 6/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 7/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 8/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 0/12 | Уровень: 3
2025-06-16 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 2/7 | Уровень: 1
2025-06-16 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 3/7 | Уровень: 1
2025-06-16 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 4/7 | Уровень: 1
2025-06-16 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 5/7 | Уровень: 1
2025-06-16 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 6/7 | Уровень: 1
2025-06-16 00:00:00 | Ментальные | Интеллект | Изменение: +1 | Текущее: 0/9 | Уровень: 2
2025-06-16 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 1/9 | Уровень: 2
2025-06-16 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 2/9 | Уровень: 2
2025-06-16 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 3/9 | Уровень: 2
2025-06-16 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 4/9 | Уровень: 2
2025-06-16 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 5/9 | Уровень: 2
2025-06-16 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 6/9 | Уровень: 2
2025-06-16 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 7/9 | Уровень: 2
2025-06-16 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 8/9 | Уровень: 2
2025-06-16 00:00:00 | Социальные | Харизма | Изменение: +1 | Текущее: 0/12 | Уровень: 3
2025-06-16 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 3/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 4/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 5/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 6/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 7/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Восприятие | Изменение: -1 | Текущее: 6/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Восприятие | Изменение: -1 | Текущее: 5/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 6/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 7/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 8/9 | Уровень: 2
2025-06-16 00:00:00 | Ментальные | Восприятие | Изменение: +1 | Текущее: 0/12 | Уровень: 3
