=== Лог изменений характеристик ===
2025-06-16 20:09:10 | Ментальные | Интеллект | Изменение: +1 | Текущее: 1/9 | Уровень: 2
2025-06-16 20:09:11 | Ментальные | Интеллект | Изменение: +1 | Текущее: 2/9 | Уровень: 2
2025-06-16 20:09:12 | Ментальные | Интеллект | Изменение: +1 | Текущее: 3/9 | Уровень: 2
2025-06-16 20:09:12 | Ментальные | Восприятие | Изменение: +1 | Текущее: 1/7 | Уровень: 1
2025-06-16 20:09:12 | Ментальные | Интеллект | Изменение: +1 | Текущее: 4/9 | Уровень: 2
2025-06-16 20:09:12 | Ментальные | Восприятие | Изменение: +1 | Текущее: 2/7 | Уровень: 1
2025-06-16 20:09:13 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 1/9 | Уровень: 2
2025-06-16 20:09:13 | Ментальные | Память | Изменение: +1 | Текущее: 1/5 | Уровень: 0
2025-06-16 20:09:13 | Ментальные | Память | Изменение: +1 | Текущее: 2/5 | Уровень: 0
2025-06-16 20:09:13 | Ментальные | Коммуникация | Изменение: +1 | Текущее: 2/9 | Уровень: 2
2025-06-16 20:09:14 | Социальные | Внешность | Изменение: +1 | Текущее: 1/5 | Уровень: 0
2025-06-16 20:09:14 | Социальные | Харизма | Изменение: +1 | Текущее: 1/5 | Уровень: 0
2025-06-16 20:09:14 | Социальные | Внешность | Изменение: -1 | Текущее: 0/5 | Уровень: 0
2025-06-16 20:09:14 | Социальные | Харизма | Изменение: -1 | Текущее: 0/5 | Уровень: 0
2025-06-16 20:09:14 | Социальные | Внешность | Изменение: +1 | Текущее: 1/5 | Уровень: 0
2025-06-16 20:09:15 | Физические | Выносливость | Изменение: +1 | Текущее: 1/5 | Уровень: 0
2025-06-16 20:18:05 | Ментальные | Восприятие | Изменение: +1 | Текущее: 3/7 | Уровень: 1
2025-06-16 20:18:06 | Ментальные | Восприятие | Изменение: -1 | Текущее: 2/7 | Уровень: 1
2025-06-16 20:18:06 | Ментальные | Восприятие | Изменение: +1 | Текущее: 3/7 | Уровень: 1
